SM_LINCS_ID	SM_CENTER_COMPOUND_ID
LSM-1001	HMSL10001
LSM-1001	BRD-K07691486
LSM-1002	BRD-K68191783
LSM-1002	HMSL10002
LSM-1003	BRD-K22096725
LSM-1003	HMSL10003
LSM-1004	HMSL10004
LSM-1004	BRD-K13390322
LSM-1005	BRD-K53414658
LSM-1005	HMSL10005
LSM-1006	HMSL10006
LSM-1006	BRD-K46056750
LSM-1007	BRD-K69932463
LSM-1007	HMSL10007
LSM-1008	BRD-K23984367
LSM-1008	HMSL10008
LSM-1009	HMSL10009
LSM-1009	BRD-K15592317
LSM-1010	HMSL10010
LSM-1010	BRD-K76908866
LSM-1011	BRD-K87909389
LSM-1011	HMSL10011
LSM-1012	BRD-A10523515
LSM-1012	HMSL10012
LSM-1013	BRD-K92428232
LSM-1013	HMSL10013
LSM-1014	HMSL10014
LSM-1014	BRD-K90382497
LSM-1017	HMSL10017
LSM-1018	HMSL10018
LSM-1018	BRD-K85606544
LSM-1020	BRD-K49328571
LSM-1020	HMSL10020
LSM-1021	BRD-K87947369
LSM-1021	BRD-K59369769
LSM-1021	HMSL10021
LSM-1022	BRD-K97056771
LSM-1022	HMSL10022
LSM-1023	BRD-K92723993
LSM-1023	HMSL10023
LSM-1024	BRD-K50140147
LSM-1024	HMSL10024
LSM-1025	HMSL10025
LSM-1025	BRD-K79090631
LSM-1026	HMSL10026
LSM-1026	BRD-K97764662
LSM-1027	HMSL10027
LSM-1027	BRD-K78431006
LSM-1028	HMSL10028
LSM-1028	BRD-K13566078
LSM-1029	BRD-K39520573
LSM-1029	HMSL10029
LSM-1029	BRD-K07859598
LSM-1030	HMSL10030
LSM-1030	BRD-K09991945
LSM-1031	HMSL10031
LSM-1031	BRD-K04923131
LSM-1032	HMSL10032
LSM-1032	BRD-K19540840
LSM-1033	HMSL10033
LSM-1033	BRD-K68407802
LSM-1034	HMSL10034
LSM-1034	BRD-A60245366
LSM-1035	HMSL10035
LSM-1035	BRD-K04887706
LSM-1036	BRD-K82091397
LSM-1036	BRD-K98143437
LSM-1036	HMSL10036
LSM-1037	BRD-K93918653
LSM-1037	HMSL10037
LSM-1038	HMSL10038
LSM-1039	HMSL10039
LSM-1040	BRD-K20285085
LSM-1040	HMSL10040
LSM-1041	HMSL10041
LSM-1041	BRD-K64890080
LSM-1042	BRD-K99616396
LSM-1042	HMSL10042
LSM-1043	HMSL10043
LSM-1043	BRD-A29901043
LSM-1044	HMSL10044
LSM-1044	BRD-K24859147
LSM-1045	BRD-K38615104
LSM-1045	HMSL10045
LSM-1046	BRD-K01253243
LSM-1046	HMSL10046
LSM-1047	BRD-K52911425
LSM-1047	HMSL10047
LSM-1048	BRD-K05104363
LSM-1048	HMSL10048
LSM-1049	BRD-K16478699
LSM-1049	HMSL10049
LSM-1050	BRD-K05804044
LSM-1050	HMSL10050
LSM-1051	BRD-M07438658
LSM-1051	BRD-K19687926
LSM-1051	HMSL10051
LSM-1052	HMSL10052
LSM-1052	BRD-A79768653
LSM-1053	HMSL10053
LSM-1053	BRD-K63068307
LSM-1054	BRD-K41895714
LSM-1054	HMSL10054
LSM-1055	BRD-K49669041
LSM-1055	HMSL10055
LSM-1056	BRD-K57080016
LSM-1056	HMSL10056
LSM-1057	BRD-K68065987
LSM-1057	HMSL10057
LSM-1058	HMSL10058
LSM-1058	BRD-K84085265
LSM-1059	HMSL10059
LSM-1059	BRD-K58772419
LSM-1060	HMSL10060
LSM-1060	BRD-K52751261
LSM-1061	BRD-K00337317
LSM-1061	HMSL10061
LSM-1062	HMSL10062
LSM-1062	BRD-K36740062
LSM-1063	HMSL10063
LSM-1063	BRD-K94294671
LSM-1064	HMSL10064
LSM-1064	BRD-A45498368
LSM-1065	BRD-K53561341
LSM-1065	HMSL10065
LSM-1066	BRD-K83963101
LSM-1066	HMSL10066
LSM-1067	BRD-K63923597
LSM-1067	HMSL10067
LSM-1068	BRD-K56343971
LSM-1068	HMSL10068
LSM-1069	BRD-K79404599
LSM-1069	HMSL10069
LSM-1070	HMSL10070
LSM-1070	BRD-A68739437
LSM-1071	HMSL10071
LSM-1071	BRD-K51313569
LSM-1072	BRD-K99545815
LSM-1072	HMSL10072
LSM-1073	BRD-K64800655
LSM-1073	HMSL10073
LSM-1074	BRD-K25311561
LSM-1074	HMSL10074
LSM-1078	HMSL10078
LSM-1079	BRD-K40175214
LSM-1079	HMSL10079
LSM-1080	BRD-K68174511
LSM-1080	HMSL10080
LSM-1081	BRD-K09186807
LSM-1081	HMSL10081
LSM-1082	HMSL10082
LSM-1085	BRD-K72420232
LSM-1085	HMSL10085
LSM-1086	BRD-K01436366
LSM-1086	HMSL10086
LSM-1087	HMSL10087
LSM-1088	HMSL10088
LSM-1090	HMSL10090
LSM-1091	HMSL10091
LSM-1092	HMSL10092
LSM-1093	HMSL10093
LSM-1093	BRD-K64857848
LSM-1094	HMSL10094
LSM-1094	BRD-K50387473
LSM-1095	HMSL10095
LSM-1096	HMSL10096
LSM-1096	BRD-K72703948
LSM-1097	BRD-K70401845
LSM-1097	HMSL10097
LSM-1098	HMSL10098
LSM-1098	BRD-K64052750
LSM-1099	HMSL10099
LSM-1099	BRD-K81528515
LSM-1100	HMSL10100
LSM-1101	BRD-K49865102
LSM-1101	HMSL10101
LSM-1102	HMSL10102
LSM-1102	BRD-A28746609
LSM-1103	HMSL10103
LSM-1103	BRD-K17953061
LSM-1104	HMSL10104
LSM-1104	BRD-K78373679
LSM-1105	HMSL10105
LSM-1106	HMSL10106
LSM-1107	HMSL10107
LSM-1107	BRD-K60230970
LSM-1108	BRD-K11528507
LSM-1108	HMSL10108
LSM-1109	HMSL10109
LSM-1110	HMSL10110
LSM-1110	BRD-K68756823
LSM-1111	HMSL10111
LSM-1111	BRD-K94176593
LSM-1112	HMSL10112
LSM-1113	HMSL10113
LSM-1114	HMSL10114
LSM-1114	BRD-K74514084
LSM-1115	HMSL10115
LSM-1115	BRD-K04853698
LSM-1116	HMSL10116
LSM-1117	HMSL10117
LSM-1118	HMSL10118
LSM-1118	BRD-K66538826
LSM-1119	HMSL10119
LSM-1119	BRD-K02965346
LSM-1120	HMSL10120
LSM-1120	BRD-K50168500
LSM-1121	HMSL10121
LSM-1121	BRD-K37720887
LSM-1122	HMSL10122
LSM-1123	HMSL10123
LSM-1124	HMSL10124
LSM-1125	HMSL10125
LSM-1125	BRD-K95435023
LSM-1126	HMSL10126
LSM-1127	BRD-K85402309
LSM-1127	HMSL10127
LSM-1128	HMSL10128
LSM-1129	HMSL10129
LSM-1130	BRD-K71035033
LSM-1130	HMSL10130
LSM-1131	BRD-K33379087
LSM-1131	HMSL10131
LSM-1132	HMSL10132
LSM-1133	BRD-A58767537
LSM-1134	HMSL10134
LSM-1134	BRD-K04833372
LSM-1135	HMSL10135
LSM-1136	BRD-K51575138
LSM-1136	HMSL10136
LSM-1137	HMSL10137
LSM-1139	BRD-K53972329
LSM-1139	HMSL10138
LSM-1140	HMSL10139
LSM-1141	HMSL10140
LSM-1142	BRD-K12502280
LSM-1142	HMSL10141
LSM-1143	HMSL10142
LSM-1144	HMSL10143
LSM-1145	HMSL10144
LSM-1146	HMSL10145
LSM-1146	BRD-K87142802
LSM-1147	HMSL10146
LSM-1148	HMSL10147
LSM-1149	HMSL10148
LSM-1150	HMSL10149
LSM-1151	HMSL10150
LSM-1151	BRD-K44227013
LSM-1152	BRD-K49075727
LSM-1152	HMSL10151
LSM-1153	HMSL10152
LSM-1153	BRD-K54256913
LSM-1154	HMSL10153
LSM-1155	HMSL10154
LSM-1156	HMSL10155
LSM-1157	BRD-K02123250
LSM-1157	HMSL10156
LSM-1158	BRD-K03449891
LSM-1158	HMSL10157
LSM-1159	HMSL10158
LSM-1160	HMSL10159
LSM-1160	BRD-K08799216
LSM-1161	BRD-K59184148
LSM-1161	HMSL10160
LSM-1162	BRD-K41859756
LSM-1162	HMSL10161
LSM-1163	HMSL10162
LSM-1163	BRD-K01567962
LSM-1164	HMSL10163
LSM-1165	HMSL10164
LSM-1166	HMSL10165
LSM-1166	BRD-K73319509
LSM-1167	HMSL10166
LSM-1168	HMSL10167
LSM-1168	BRD-A37704979
LSM-1169	HMSL10168
LSM-1169	BRD-K91900765
LSM-1170	BRD-K74065929
LSM-1170	HMSL10169
LSM-1171	HMSL10170
LSM-1172	BRD-A41692738
LSM-1172	HMSL10171
LSM-1173	BRD-K06750613
LSM-1173	HMSL10172
LSM-1174	HMSL10173
LSM-1175	HMSL10174
LSM-1176	HMSL10175
LSM-1176	BRD-M64432851
LSM-1177	HMSL10176
LSM-1177	BRD-A58280226
LSM-1178	HMSL10177
LSM-1178	BRD-A21584801
LSM-1179	HMSL10178
LSM-1180	BRD-K56301217
LSM-1180	HMSL10179
LSM-1181	HMSL10180
LSM-1182	BRD-K67578145
LSM-1182	HMSL10181
LSM-1183	BRD-K99749624
LSM-1183	HMSL10182
LSM-1184	HMSL10183
LSM-1185	HMSL10184
LSM-1186	HMSL10185
LSM-1187	HMSL10186
LSM-1188	HMSL10187
LSM-1189	HMSL10188
LSM-1190	BRD-K99964838
LSM-1190	HMSL10189
LSM-1191	HMSL10190
LSM-1192	HMSL10191
LSM-1192	BRD-K70511574
LSM-1193	HMSL10192
LSM-1194	HMSL10193
LSM-1195	HMSL10194
LSM-1196	HMSL10195
LSM-1197	HMSL10196
LSM-1198	HMSL10197
LSM-1199	HMSL10198
LSM-1200	HMSL10199
LSM-1201	HMSL10200
LSM-1202	HMSL10201
LSM-1203	BRD-K09132007
LSM-1203	HMSL10202
LSM-1204	HMSL10203
LSM-1205	HMSL10204
LSM-1206	HMSL10205
LSM-1207	HMSL10206
LSM-1208	HMSL10207
LSM-1209	HMSL10208
LSM-1210	BRD-K34581968
LSM-1210	HMSL10209
LSM-1211	HMSL10210
LSM-1212	HMSL10211
LSM-1213	HMSL10212
LSM-1214	HMSL10213
LSM-1215	HMSL10214
LSM-1216	BRD-K51781482
LSM-1216	HMSL10215
LSM-1217	HMSL10216
LSM-1217	BRD-K93480852
LSM-1218	HMSL10217
LSM-1219	HMSL10218
LSM-1219	BRD-K97354755
LSM-1220	BRD-K91701654
LSM-1220	HMSL10219
LSM-1220	BRD-K18787491
LSM-1220	BRD-K46419649
LSM-1221	HMSL10220
LSM-1222	HMSL10221
LSM-1222	BRD-K70642949
LSM-1223	HMSL10222
LSM-1224	HMSL10223
LSM-1224	BRD-K68336408
LSM-1225	HMSL10224
LSM-1226	HMSL10225
LSM-1227	HMSL10226
LSM-1227	BRD-K31283835
LSM-1228	HMSL10227
LSM-1228	BRD-K42452249
LSM-1230	HMSL10229
LSM-1231	HMSL10230
LSM-1231	BRD-K23192422
LSM-1232	BRD-A00100033
LSM-1233	BRD-A00267231
LSM-1234	BRD-A00474148
LSM-1235	BRD-A00546892
LSM-1236	BRD-A00626522
LSM-1237	BRD-A00758722
LSM-1238	BRD-A00993607
LSM-1239	BRD-A01295252
LSM-1240	BRD-A01320529
LSM-1241	BRD-A01346607
LSM-1242	BRD-A01593789
LSM-1243	BRD-A01643550
LSM-1244	BRD-A01973626
LSM-1245	BRD-A01999384
LSM-1246	BRD-A02006392
LSM-1247	BRD-A02176148
LSM-1248	BRD-A02180903
LSM-1249	BRD-A02189320
LSM-1250	BRD-A02241946
LSM-1251	BRD-A02367930
LSM-1252	BRD-A02710418
LSM-1253	BRD-A02713983
LSM-1254	BRD-A02747686
LSM-1255	BRD-A02759312
LSM-1256	BRD-A02809788
LSM-1257	BRD-A03359064
LSM-1258	BRD-A03436432
LSM-1259	BRD-A03623303
LSM-1260	BRD-A03816571
LSM-1261	BRD-A04026261
LSM-1262	BRD-A04392722
LSM-1263	BRD-A04553218
LSM-1264	BRD-A04668240
LSM-1265	BRD-A04706586
LSM-1266	BRD-A04756508
LSM-1267	BRD-A05186015
LSM-1268	BRD-A05352148
LSM-1269	BRD-A05565054
LSM-1270	BRD-A05680309
LSM-1271	BRD-A05831822
LSM-1272	BRD-A06276885
